fold,mae_E,mae_N,mae_U,horiz,mae_3d,val_count
1,2.4475103854843527,2.458385535757632,1.7706496887857264,3.8900710874957327,4.541974356426507,88
2,3.241875693607227,2.788785212496296,1.780015393820676,4.723168325848922,5.302665334415718,88
3,3.945774757589962,3.4867425579732014,1.9852247428894045,5.965866690514331,6.678792099641544,88
4,2.794709427386231,2.6332140828953796,2.0019522090341844,4.247913330019808,5.089699615569968,87
5,2.6295461142512253,2.6821685862570366,1.9276987634856133,4.241041551843589,4.975050875184186,87
