fold,subset,E,N,U,horiz,mae3d,count
1,ALL,2.468633867540838,2.558906557055724,1.8875301892107181,3.9830541868610307,4.743947279197721,88
1,NEAR,2.570635881890435,0.649106855008171,3.035469710032148,2.9829223860395917,4.28335936065048,3
1,FAR,2.465033796446146,2.6263112524221093,1.847014676711138,4.018352956301788,4.760203323381742,85
2,ALL,2.587358580973526,2.4753860084792008,1.7517198595133687,3.9480546520293625,4.613761666362081,88
2,NEAR,0.2558467061125027,0.6104939323210274,0.11141895294189297,0.7047874999580521,0.7319135454398192,2
2,FAR,2.6415797873656426,2.51875559164567,1.7898663922243332,4.023479469519392,4.704037204057948,86
3,ALL,3.6417698044189795,3.5249990251557817,1.8875890597430136,5.685615196075617,6.320828722096877,88
3,NEAR,0.23656668403955985,0.38230811578889784,0.10046599578857496,0.48193374791091126,0.49501079469808806,5
3,FAR,3.8469025225141267,3.714317754635714,1.9952470756438843,5.999089982109634,6.671781609289575,83
4,ALL,2.3403906625637645,2.846021317853041,1.9389859513030652,4.059368488158929,4.894054880960242,87
4,NEAR,0.7719794065787162,0.3039430922537541,0.16789901733398266,0.9216501341328771,0.9594737837616943,5
4,FAR,2.4360254952457794,3.0010260877066552,2.0469790570328876,4.250692778038568,5.133968362496739,82
5,ALL,2.3546271852926486,2.66256107591038,1.8500781509245958,3.9922434236012725,4.6924146679177205,87
5,NEAR,0.3273338075097154,0.684999157288969,0.5510600180096108,0.7967547396217955,1.0722618751343485,9
5,FAR,2.588545651959911,2.8907412972897735,1.9999648585686316,4.360953656368135,5.11012460554657,78
